Short Name,Long Name,Vendor,WOSO URL,MOSO URL
Millikin,Millikin University,Sidearm,https://athletics.millikin.edu/sports/womens-soccer,https://www.millikinmenssoccercamps.com/
North Central (IL),North Central College,Sidearm,https://ncurams.com/sports/womens-soccer,https://ncurams.com/sports/mens-soccer
North Park,North Park University,Sidearm,https://athletics.northpark.edu/sports/womens-soccer,https://washubears.com/sports/mens-soccer/opponent-history/north-park-university/193
Wheaton (IL),Wheaton College (Ill.),Sidearm,https://wheatoncollegelyons.com/sports/womens-soccer,https://wheatoncollegelyons.com/sports/mens-soccer
Carroll (WI),Carroll University,Sidearm,https://carrollathletics.com/sports/womens-soccer,https://jcusports.com/sports/mens-soccer
Carthage,Carthage College,Sidearm,https://athletics.carthage.edu/news/2024/8/30/womens-soccer-womens-soccer-opens-2024-season-with-a-win.aspx,https://athletics.carthage.edu/sports/mens-soccer
Huntingdon,Huntingdon College,Sidearm,https://rolltide.com/sports/womens-soccer/opponent-history/huntingdon-college/394,None
Covenant,Covenant College,Sidearm,https://athletics.covenant.edu/sports/womens-soccer,https://athletics.covenant.edu/news/2024/2/6/mens-soccer-individual-academy-2024.aspx
LaGrange,LaGrange College,Sidearm,https://lagrangepanthers.com/sports/womens-soccer,https://lagrangepanthers.com/story.aspx?filename=mens-soccer-msoc-recap&file_date=8/31/2024
Piedmont,Piedmont College,Sidearm,https://piedmontlions.com/sports/womens-soccer,https://piedmontlions.com/sports/mens-soccer
Maryville (TN),Maryville College,Sidearm,https://maryvillesaints.com/sports/womens-soccer,https://maryvillesaints.com/sports/mens-soccer
New-England,University of New England,Sidearm,https://athletics.une.edu/sports/womens-soccer,https://athletics.une.edu/sports/mens-soccer
Curry,Curry College,PrestoSports,None,None
Endicott,Endicott College,PrestoSports,None,None
Gordon,Gordon College,Sidearm,https://athletics.gordon.edu/sports/womens-soccer,https://menssoccer.gordoncollegecamps.com/
Nichols,Nichols College,Sidearm,https://geauxcolonels.com/sports/womens-soccer,https://nicholsathletics.com/sports/mens-soccer
Suffolk,Suffolk University,PrestoSports,None,None
Wentworth Inst.,Wentworth Institute of Technology,PrestoSports,None,https://emersonlions.com/sports/mens-soccer/opponent-history/wentworth-institute-of-technology/219
Western New Eng.,Western New England University,Sidearm,https://wnegoldenbears.com/sports/womens-soccer,https://wne.edu/news/2023/11/mens-soccer-send-off.cfm
Roger Williams,Roger Williams University,Sidearm,https://rwuhawks.com/sports/womens-soccer,https://rwuhawks.com/news/2024/8/30/mens-soccer-roger-williams-mens-soccer-grabs-win-number-one-in-season-opener.aspx
Elmira,Elmira College,Sidearm,https://athletics.elmira.edu/sports/womens-soccer,https://athletics.elmira.edu/sports/mens-soccer
Hartwick,Hartwick College,Sidearm,https://www.hartwickhawks.com/sports/womens-soccer,https://oneontaathletics.com/sports/mens-soccer/opponent-history/hartwick-college/6
Houghton,Houghton College,Sidearm,https://athletics.houghton.edu/sports/womens-soccer,https://athletics.houghton.edu/news/2024/8/30/freshmen-lead-way-for-mens-soccer-win.aspx
Keuka,Keuka College,Sidearm,https://keukaathletics.com/sports/womens-soccer,https://keukaathletics.com/news/2023/11/28/mens-soccer-keuka-college-soccer-stands-out-in-the-classroom.aspx
Nazareth,Nazareth College,Sidearm,https://nazathletics.com/sports/womens-soccer,https://nazathletics.com/sports/mens-soccer
Sage Colleges,The Sage Colleges,PrestoSports,None,None
St. John Fisher,St. John Fisher University,Sidearm,https://sjfathletics.com/sports/womens-soccer,https://sjfathletics.com/sports/mens-soccer
Utica,Utica College,Sidearm,https://uticapioneers.com/sports/womens-soccer,https://www.uticamenssoccercamps.com/
St. Joseph (CT),University of Saint Joseph (Conn.),PrestoSports,None,https://bantamsports.com/sports/mens-soccer/opponent-history/university-of-saint-joseph/215
Mitchell,Mitchell College,PrestoSports,None,None
St. Joseph's (Me.),Saint Joseph's College (Maine),PrestoSports,None,https://www.sjcme.edu/mens-soccer-team-ranked-23rd-nationally-8-regionally/highlights/
Dean College,Dean College,Sidearm,https://deanbulldogs.com/sports/womens-soccer,https://deanbulldogs.com/sports/mens-soccer
Elms,Elms College,PrestoSports,None,https://goecsaints.com/sports/mens-soccer/opponent-history/elms-college/3
Regis College,Regis College,PrestoSports,https://regisrangers.com/sports/womens-soccer,https://menssoccer.regissportsclinics.com/
Simmons,Simmons College,Sidearm,https://simmons.spirit.bncollege.com/simmons-university-sharks-womens-blue-simmons-university-sharks-soccer-t-shirt/t-2377333583+p-044910770645+z-9-1267207061,None
Colby-Sawyer,Colby-Sawyer College,Sidearm,https://www.colby-sawyerathletics.com/sports/womens-soccer,https://www.colby-sawyerathletics.com/sports/mens-soccer
New England Col.,New England College,Sidearm,https://athletics.une.edu/sports/womens-soccer,https://athletics.une.edu/sports/mens-soccer
Rivier,Rivier University,PrestoSports,None,None
Johnson & Wales (RI),Johnson and Wales University,Sidearm,https://charlotte.jwuathletics.com/sports/womens-soccer,https://norwichathletics.com/sports/mens-soccer/opponent-history/johnson-wales-university/1
Norwich,Norwich University,Sidearm,https://norwichathletics.com/sports/womens-soccer,https://goecsaints.com/sports/mens-soccer/opponent-history/norwich-university/67
Earlham,Earlham College,Sidearm,https://goearlham.com/sports/womens-soccer,https://goearlham.com/news/2024/8/31/mens-soccer-mens-soccer-draws-with-blackburn.aspx
Franklin,Franklin College,Sidearm,https://franklingrizzlies.com/sports/womens-soccer,https://franklingrizzlies.com/sports/mens-soccer
Hanover,Hanover College,Sidearm,https://athletics.hanover.edu/sports/womens-soccer,https://athletics.hanover.edu/sports/mens-soccer
Manchester,Manchester University,Sidearm,https://muspartans.com/sports/womens-soccer,https://mygift.manchester.edu/campaigns/manchester-university-mens-soccer-2024
Rose-Hulman,Rose-Hulman Institute of Technology,Sidearm,https://athletics.rose-hulman.edu/sports/womens-soccer,https://athletics.rose-hulman.edu/sports/mens-soccer
Transylvania,Transylvania University,Sidearm,None,None
Bluffton,Bluffton University,PrestoSports,https://www.blufftonwomenssoccercamps.com/,https://menssoccer.blufftonusportscamps.com/
Defiance,Defiance College,PrestoSports,None,https://adrianbulldogs.com/news/2024/8/30/mens-soccer-opens-2024-with-commanding-5-1-victory-over-defiance.aspx
Mount St. Joseph,Mount St. Joseph University,Sidearm,https://msjlions.com/sports/womens-soccer,https://msjlions.com/sports/mens-soccer
Goucher,Goucher College,PrestoSports,None,https://etownbluejays.com/sports/mens-soccer/opponent-history/goucher-college/91
Drew,Drew University,Sidearm,https://drewrangers.com/sports/womens-soccer,https://drewrangers.com/sports/mens-soccer
Elizabethtown,Elizabethtown College,Sidearm,https://etownbluejays.com/sports/womens-soccer,https://gomessiah.com/sports/mens-soccer/opponent-history/elizabethtown-college/6
Juniata,Juniata College,PrestoSports,None,https://www.juniata.edu/offices/conferences-events/camps-conferences/mens-soccer-ID.php
Lycoming,Lycoming College,Sidearm,https://lycomingathletics.com/sports/womens-soccer,https://ycpspartans.com/sports/mens-soccer/opponent-history/lycoming-college/141
Moravian,Moravian College,PrestoSports,None,https://www.moravian.edu/athletics-giving-challenge/mens-soccer
Scranton,University of Scranton,Sidearm,https://athletics.scranton.edu/sports/womens-soccer,https://athletics.scranton.edu/news/2024/9/1/corrs-late-winner-pushes-mens-soccer-past-muhlenberg-1-0.aspx
Susquehanna,Susquehanna University,Sidearm,https://suriverhawks.com/sports/womens-soccer,https://athletics.misericordia.edu/news/2024/8/30/susquehanna-mens-soccer-edges-mu-in-opener.aspx
Wilkes,Wilkes University,Sidearm,https://gowilkesu.com/sports/womens-soccer,https://gowilkesu.com/news/2024/8/29/mens-soccer-2024-wilkes-mens-soccer-season-preview.aspx
Catholic,Catholic University,Sidearm,https://catholicathletics.com/sports/womens-soccer,https://catholicathletics.com/sports/mens-soccer
Bard,Bard College,Sidearm,https://bardathletics.com/sports/womens-soccer,https://bardathletics.com/news/2024/8/29/2024-season-preview-mens-soccer.aspx
Clarkson,Clarkson University,Sidearm,https://clarksonathletics.com/sports/womens-soccer,https://www.clarksonathletics.com/sports/mens-soccer
Hobart,Hobart College,Sidearm,https://hwsathletics.com/sports/womens-soccer,https://hwsathletics.com/sports/mens-soccer
Ithaca,Ithaca College,Sidearm,https://athletics.ithaca.edu/sports/womens-soccer,https://athletics.ithaca.edu/sports/mens-soccer
Rensselaer,Rensselaer Polytechnic Institute,Sidearm,https://rpiathletics.com/sports/womens-soccer,https://gogryphons.com/sports/mens-soccer/stats/2024/rensselaer-polytechnic-institute/boxscore/5325
Rochester (NY),University of Rochester,Sidearm,https://uofrathletics.com/sports/womens-soccer,https://uofrathletics.com/sports/mens-soccer
Rochester Inst.,Rochester Institute of Technology,Sidearm,https://ritathletics.com/sports/womens-soccer,https://ritathletics.com/sports/mens-soccer
Skidmore,Skidmore College,Sidearm,https://skidmoreathletics.com/sports/womens-soccer,https://skidmoreathletics.com/news/2024/2/21/mens-soccer-skidmore-mens-soccer-id-clinics.aspx
St. Lawrence,St. Lawrence University,Sidearm,https://saintsathletics.com/sports/womens-soccer,https://saintsathletics.com/sports/mens-soccer
Union (NY),Union College (N.Y.),Sidearm,https://uuathletics.com/sports/womens-soccer,https://uuathletics.com/sports/mens-soccer
Vassar,Vassar College,Sidearm,https://www.vassarathletics.com/sports/womens-soccer,https://www.vassarathletics.com/sports/mens-soccer
Eastern Conn. St.,Eastern Connecticut State University,Sidearm,https://gowarriorathletics.com/sports/womens-soccer,https://gowarriorathletics.com/sports/mens-soccer
Western Conn. St.,Western Connecticut State University,Sidearm,https://westconnathletics.com/sports/womens-soccer,https://westconnathletics.com/sports/mens-soccer
Southern Me.,University of Southern Maine,Sidearm,https://usm.maine.edu/news/tag/womens-soccer/,https://usm.maine.edu/calendar-of-events/event/university-of-southern-maine-mens-soccer-at-university-of-maine-farmington/
Mass.-Boston,UMass Boston,Sidearm,https://beaconsathletics.com/sports/womens-soccer,https://beaconsathletics.com/sports/mens-soccer
Mass.-Dartmouth,UMass Dartmouth,Sidearm,https://corsairathletics.com/sports/womens-soccer,https://corsairathletics.com/sports/mens-soccer
Keene St.,Keene State College,Sidearm,https://keeneowls.com/sports/womens-soccer,https://keeneowls.com/sports/mens-soccer
